review,sentiment
perfect double bill for the horribly corny `` beverly hillbillies '' is this equally atrocious lame brained 'comedy `` son in law '' country girl rebecca goes to wild california to attend college only to be assaulted by the lifestyle 'resident adviser `` crawl '' helps her settle in and soon the two are good friends bec decides to bring the wacky `` crawl '' home for thanksgiving with obvious `` fish out of water '' results the only other comic angle steve rash aptly named achieves here is a sexual one this he bludgeons us with but to no avail both comic aspects fail dismally and you know the film is groping when `` crawl '' hijacks the combine harvester and writes his name in the corn field dramatically the movie falls short too with several attempts at family and personal counselling from `` crawl '' misfiring between them pauly shore and carla gugino manage to raise a couple of smiles but little else while the rest of the cast are mere fodder the problem is it 's nearly impossible to actually like `` crawl '' and you 'll find yourself spending the whole flick wondering why rebecca would want to spend a moment with him however if you 're a fan of unintelligent comedy `` son in law '' is right on the mark sunday november 10 1996 t.v,0
two funeral directors in a welsh village english humour as opposed to that other stuff from over the atlantic how could i resist my wife and i saw it on march the 6th for our belated valentines day celebration and both of us enjoyed some good belly laughs we were going to see another movie later but decided not to because we wanted the experience of this movie to stay with us for the evening the mortuary scene in the last 20 minutes of the film is worth the wait it raises issues rarely talked about in the community but i know three funeral directors and the humour is right on the money highly recommended and congratulations to the writers without you all the actors directors and the others hav n't a job on any monday,1
may contain spoilers i was super excited to go see blood and chocolate with my friends i could n't wait because the book is one of my favorites but as soon as the movie started i could n't believe how different it was at first i was like okay so both of her parents are dead ... maybe it 'll be okay but then came the rest of the movie by the time it was over i was furious nothing was correct but their names and the fact that vivian fell in love with aiden by the end of the book gabriel was my all time favorite ... and then the movie goes and turns him into a complete heartless idiot the movie also showed the shifters or werewolves as these vile evil creatures were as the book shows them as just wanting to fit in and keep their pack safe they would never kill humans for the fun of it if they wanted to make a movie like they did they should have given it a different title and named the characters different because then i would go out and watch it again and buy it but when i think about it all i can see is the bad you could n't pay me to go see it again or buy it,0
the frozen limits is a big screen vehicle for the artists known as the crazy gang they were a group of british entertainers who formed in the early 1930s in the main the group 's six men were bud flanagan chesney allen jimmy nervo teddy knox charlie naughton and jimmy gold hugely popular in the variety halls the group were also darlings of the then royal family the plot here sees them as the wonder boys troupe who set off to seek their fortunes in alaska after reading about a gold rush in the newspaper only problem is is that when they finally get to red gulch it turns out they are 40 years too late i often cringe when i see the statement `` it 's very british '' because it implies that those not of the british isles may struggle to get it the reason it bothers me is because in this www/internet age i have garnered a ream of non british film loving friends who have been known to split their sides at the best of ealing will hay and the imperious terry-thomas so then is it true that something such as the frozen limits is unlikely to be appreciated by a non british audience well yes it 's true so much here is topically british but really it has to be said that the classic movie fan is pretty well versed in history and when all is said and done the visual mirth here is universal with the anarchic `` not '' so wild west make over an absolute winner a winner that has every chance of being more appreciated by an american audience now than it will be by a british audience not all the comedy works and in truth the `` big 6 '' are trumped big time by a film stealing moore marriott but there are skits and parodies here that deserve respect and a nod of approval from more illustrious comedy acts you are unlikely to nearly fall off your chair like i did because of an ovaltine gag but if you be a classic comedy film fan i feel sure that you will at the worst acknowledge there 's some very talented people at work here now then dose the mounties always get their man 8/10,1
for anyone who has trouble with naughty mad or troublesome kids this is an essential programme to watch it is just the best behaviour documentary programme not just for tips but for the transformations the quite attractive jo frost is supernanny with fifteen years of nannying experience she now has a programme where she shows a family where the kids are misbehaving very very badly frost is the nanny who does not let the kids win every episode they have young kids who are mad and very very naughty e.g throwing things constantly swearing hitting relatives and parents and many other horrible experiences but every episode by the end of the show the kids are transformed by the parents with the help of frost from little monsters to lovable children it is just wonderful when the transformations are successful jo frost is an excellent supernanny it was nominated the national television award for most popular factual programme twice it was number 15 on the 100 greatest tv treats 2004. very good,1
one of those movies in which there are no big twists whatsoever and you can predict pretty much whats is going to happen matt dillon was awesome once again but the rest did n't played a bigger part as they should have it was exciting in the beginning but kinda slow paced and predictable in the end.its one of those flicks in which the good guy wins no matter happens.if you have absolutely nothing to do you can give it a try i personally found it not worth watching the story could have been more interesting and the director could have made it less of a b-movie by engineering a happy ending,0
consider `` i know all '' action hero is lighting a cigarette in the darkness while tries to hide/seek the bad guys probably to give a signal light to say here i am coming that 's one of the 100 scenes you can laugh at i think the movie should in the comedy category awful directing awful script bad acting cheap special effects they used a tunnel so they can hide there acting in darkness 3 out of 10 that also for making me laugh looking at those pathetic mistakes,0
well i 've watched this movie for over 25 years now and it 's still almost as interesting as when i first saw it it is definitely one of the most unique films ever made i still think martin sheen got `` dissed '' big-time in the billing too he dominates the film yet gets lesser billing than marlon brando who only appears in the last 30 minutes of this 2 hours 17 minutes film theatrical version how unfair is that sheen is fantastic in here especially his narration which runs throughout it 's one of the best narrations if not the best i have ever heard in a movie his voice is just haunting as he relates his thoughts on this incredible nightmare-like adventure i never fail to appreciate his work in this movie the other thing that strikes me about the film over the years are the number of memorable scenes ones i have never forgotten such as ...... sheen losing it in his hotel room in the movie 's first scene robert duvall and the totally out-of-place surfing scenes and then the ensuing attack with wagner 's dramatic classical music blaring out of the helicopters the playboy bunny entertaining the troops frederic forrest being freaked out seeing a tiger close up in the jungle the weird scenes on the long riverboat ride the appearance of hippie journalist dennis hopper greeting the crew in cambodia and then brando 's bizarre character it goes on and on with strange scenes that 's not to say i enjoyed everything no there are a few very unpleasant scenes such as the one in which an ox is sliced in half ca n't watch that anymore an innocent family is slaughtered on a small boat by sheen 's young stoned-out crew and the crew is a little too goofy at times then there is the huge amount of profanity led by way too many f-words so there is a lot of good and a lot of bad things in this movie for almost anyone who watches this one thing for sure it is a film you will remember,1
this classic has so many great one-liners and unintentionally hilarious scenes that i do n't even know where to start if you want advice on dating its here just totally ignore the person you want and then spout out classic lines like `` chicken 's good ... i like chicken '' and before you know it you will be having a one-nighter in a basement it 's a nice basement with a woman who is 35 years younger than you bronson does it all in this film he buys a car for no good reason just so he can murder two gang members ... paying with `` cash '' ...... chunnng .... he buys an ice cream simply because `` this is america is n't it '' and ends up wasting someone named `` the giggler he laughs when he runs '' just because he stole his camera by the way this `` giggler '' is so fast that bronson 's regular pistol ca n't even catch up to him he needs to order a special one just to get this elusive creep he gets cleaned up just so he can eat a really smelly meal stuffed cabbage in a rat trap with a couple of old people who like to wear heavy clothing in 90 degree weather he goes into the dentistry business he always seems to find a crow bar when he needs one and its the same one and last but not least he always seems to have a rocket launcher at his disposal just in case he needs to blow away richie cunningham 's older brother chuck who is now strung out and in dire need of a makeover anyway this will all make sense once you have seen this classic ... all i can say is enjoy `` i owed you that one dude '',1
"red sonja is a career-step-in-the-wrong-direction for arnold schwarzenegger having made a couple of sword 'n sorcery films as conan he had moved onto slightly more serious acting roles in films like the terminator and commando only to make a mystifying return to the sword 'n sorcery genre for this 1985 debacle it 's hard to figure out why he bothered as this is weaker than both conan films in every conceivable department allegedly this was to have been the third conan film but for one reason or another the emphasis was shifted onto the leading female character the titular red-head leaving poor old arnold to play an incredibly dull supporting role spare a thought too for director richard fleischer who had given the world classics like 20,000 leagues under the sea fantastic voyage the boston strangler and 10 rillington place in this his penultimate film fleischer also has taken a gigantic career step backwards evil queen gedren sandahl bergman wants to rule the world and she needs a priceless and powerful talisman to do so she and her brutish army storm a keep populated by priestesses and steal the said talisman massacring the helpless priestesses as they go one of the dead priestesses has a sister named sonja brigitte nielsen a fiery red-headed warrior who upon hearing of her sister 's death swears revenge upon the evil gedren sonja rides across the land in search of gedren 's lair along the way she picks up travelling companions in the shape of a boy prince tarn ernie reyes jr and his bodyguard falkon paul smith she also meets the muscular warrior conan sorry i mean kalidor who offers to join her in her quest initially sonja does n't want the help of kalidor arnold schwarzenegger preferring instead to prove that she can confront and defeat her enemies alone but eventually she warms to him and accepts his assistance red sonja is a staggeringly poor film all the more so when one muses that it was made in 1985 when the sword 'n sorcery genre was close to its end it seems so simplistic and amateurish that one could easily mistake it for an early example of its kind the performances are poor on the whole ranging from bergman 's embarrassingly ott villain to reyes unbelievably irritating spoilt brat to schwarzenegger 's wooden and unenthusiastic hero nielsen is slightly better as the heroine presumably full of enthusiasm at the thought of being in her first starring role but she is let down very badly by the stupidity of clive exton and george macdonald fraser 's script the film is riddled with goofs including a scene where schwarzenegger is seen in close-up hacking down bad guys but in a long-shot in the same sequence there is n't a corpse in sight technically it is very inept too with sub-standard special effects and appallingly mechanical monsters there are a few compensations such as ennio morricone 's enjoyable music morricone spent a great deal of the '80s providing good music for awful films e.g the island treasure of the four crowns and hundra another compensation is giuseppe rotunno 's lensing of the locations in fact much of the time it 's a hell of a lot more gratifying to look at the lovely scenery than the actors standing in the foreground there were very few sword 'n sorcery films after red sonja so in some ways it might go down in history as the film which destroyed its own genre",0
